61242	Saccharine	a	മധുരഗുണമുള്ള
61243	Saccharine	a	അസുഖകരമാംവിധം അതിവിനയം കാട്ടുന്ന
61244	Saccharine	a	മധുരിക്കുന്ന
161075	Saccharine	a	പഞ്ചസാരയുള്ള
161076	Saccharine	a	അതിഭാവുകത്വം കലര്‍ന്ന
161077	Saccharine	a	മധുരമുള്ള ഒരു കൃത്രിമപദാര്‍ത്ഥം
113106	Saccharum	n	സാക്രിന്‍
61245	Sacerdotal	a	ആചാര്യസംബന്ധിയായ
61246	Sacerdotal	a	മതാചാര്യപരമായ
161259	Sacerdotal	a	പുരോഹിതനെ സംബന്ധിച്ച
161260	Sacerdotal	a	പൗരോഹിത്യപരമായ
213825	Sacerdotal	a	പുരോഹിതനെ സംബന്ധിച്ച
213826	Sacerdotal	a	പൗരോഹിത്യപരമായ
61247	Sacerdotalism	n	പുരോഹിത ഭരണം
61248	Sacerdotalism	n	പൗരോഹിത്യധാര്‍ഷ്‌ട്യം
61249	Sacerdotalism	n	പുരോഹിത പ്രാബല്യം
61250	Sacerdotally	a	പൗരാഹിത്യപരമായി
61251	Sacerdotally	n	ആചാര്യധര്‍മ്മപ്രകാരം
161488	Sachet	n	സഞ്ചി
61252	Sack	n	ചാക്ക്‌
61253	Sack	n	വലിയ സഞ്ചി
61254	Sack	n	സ്‌ത്രീകളുടെ മേല്‍ക്കുപ്പായം
61255	Sack	n	രസകോശം
61256	Sack	n	ചണസ്സഞ്ചി
61257	Sack	n	ഒരുവക കുപ്പായം
61258	Sack	n	നീര്‍സഞ്ചി
61259	Sack	v	ചാക്കില്‍ ആക്കുക
61260	Sack	v	പിടിച്ചു പറിക്കുക
61261	Sack	n	കവര്‍ച്ച
61262	Sack	v	കൊള്ളയിടുക
61263	Sack	v	കുത്തിക്കവരുക
61264	Sack	n	കവര്‍ച്ചസാധനം
161679	Sack	n	കൊള്ള
162054	Sack	v	ജോലിയില്‍ നിന്നും പിരിച്ചു വിടുക
162055	Sack	v	കൊള്ളയടിക്കുക
162056	Sack	v	നശിപ്പിക്കുക
194235	Sack	n	ഒരു ധാന്യ അളവ്
194237	Sack	n	പിരിച്ചയയ്ക്കല്‍
194238	Sack	n	ആട്ടിപ്പായിക്കല്‍
213827	Sack	n	ചാക്ക്
213828	Sack	n	കൊള്ള
213829	Sack	n	കൊള്ളിവയ്പ്
116354	Sack out	v	ഉറങ്ങാന്‍ പോവുക
116352	Sack somebody	v	ഒരാളെ ജോലിയില്‍ നിന്ന്‌ പിരിച്ചുവിടുക
112559	Sack-cloth	n	ചാക്കുതുണി
61272	Sack-race	n	ചാക്കിലാക്കപ്പെട്ട മത്സരക്കാരുടെ ഇടി മത്സരം
61273	Sackage	v	ആക്രമിച്ചെടുത്ത സ്ഥലത്തെ കൊള്ളനടത്തുക
61267	Sackcloth	n	ചാക്ക്‌
61268	Sackcloth	n	പരുക്കന്‍തുണി
61269	Sackcloth	n	മുരട്ടുതുണി
61270	Sackcloth	n	ദുഃഖവസ്‌ത്രം
116353	Sackcloth and ashes	v	വിഷമം തോന്നുക
162057	Sackcloth and ashes	idm	ദുഃഖാചരണം, അനുതാപം, പശ്ചാത്താപം എന്നിവയുടെ സൂചനകള്‍
61271	Sackful	-	ചാക്കു നിറയെ
61385	Sacral	a	ത്രികാസ്ഥിസംബന്ധമായ
61277	Sacrament	n	ദിവ്യകര്‍മ്മം
